"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"867","Mau cerita!!
Jadi di kampung gua lagi rame soal bansos yg 900rb, 300rb'y duit 600rb dibeliin sembako sama aparat de… https://t.co/yCXo7lRYBR",FALSE,0,NA,2022-11-30 15:06:25,TRUE,NA,"1597970311647227904",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Wifi2000",0,FALSE,FALSE,NA,NA
"868","Ini baru namanya bansos

Makasi hepiele &lt;3 https://t.co/VedCYvmrIZ",FALSE,0,NA,2022-11-30 15:06:07,FALSE,NA,"1597970233498554368",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","hitsujicchii",0,FALSE,FALSE,NA,NA
"869","Sebanyak 1.765  Insan Transportasi Dapatkan Bansos Voucher Pembelian  BBM Dari Pemkab

Selengkapnya:… https://t.co/A8rbLBTAde",FALSE,0,NA,2022-11-30 15:04:58,TRUE,NA,"1597969946247856129",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BantengKuningan",0,FALSE,FALSE,NA,NA
"870","Penyesuaian harga BBM dan pengalihan subsidi BBM menjadi Bansos/BLT merupakan langkah tepat supaya subsidi tepat sa… https://t.co/g6nuwhPYZO",FALSE,8,NA,2022-11-30 14:58:25,TRUE,NA,"1597968298364534786",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","zyepuz",7,FALSE,FALSE,NA,NA
"871","@txtdrbansos @detikcom Kalau di desa,.justru gak beli beras (sudah punya hasil sawah/buruh sawah), utamanya Gula, K… https://t.co/KJLg43ycmn",FALSE,0,"txtdrbansos",2022-11-30 14:57:17,TRUE,"1597966171114205184","1597968010480082945","1499577581036728322","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","wahyonoisnaeni1",0,FALSE,FALSE,NA,NA
"872","@SaropudinAde @yusuf_dumdum Emang korupsi bansos bukan tragedi era Jokowi. Papa minta saham terlupakan. Asabri lupa juga.",FALSE,0,"SaropudinAde",2022-11-30 14:56:43,FALSE,"1597964262584254464","1597967871069786113","1472445415966445568","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RjBrana",0,FALSE,FALSE,NA,NA
"873","RT @pikiran_rakyat: Kategori Bansos PKH Tahap 4 yang Masih Cair Desember 2022, Mulai Dari BLT Ibu Hamil hingga BLT Lansia https://t.co/6g0p…",FALSE,0,NA,2022-11-30 14:51:33,FALSE,NA,"1597966570609061889",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","PRDepok",1,TRUE,FALSE,NA,NA
"874","Kategori Bansos PKH Tahap 4 yang Masih Cair Desember 2022, Mulai Dari BLT Ibu Hamil hingga BLT Lansia… https://t.co/uJd5eymu1S",FALSE,0,NA,2022-11-30 14:51:04,TRUE,NA,"1597966447938265088",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","pikiran_rakyat",1,FALSE,FALSE,NA,NA
"875","Kategori Bansos PKH Tahap 4 yang Masih Cair Desember 2022, Mulai Dari BLT Ibu Hamil hingga BLT Lansia https://t.co/LGxxmhcfM0",FALSE,0,NA,2022-11-30 14:51:03,FALSE,NA,"1597966444440195073",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","PRDepok",0,FALSE,FALSE,NA,NA
"876","Satlantas Polres Subang Distribusikan Bansos dengan R2 di Wilayah Terisolir Gempa Cianjur

https://t.co/6grHtnkHX7",FALSE,0,NA,2022-11-30 14:41:43,FALSE,NA,"1597964093394391040",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","NTMC_Info",0,FALSE,FALSE,NA,NA
"877","Selalu hadir‼️Ka Polres Seram Bagian Timur, AKBP Agus Joko Nugroho, S.H., S.I.K., sambangi warga Teluk Waru dalam r… https://t.co/EQMUR6JP1N",FALSE,1,NA,2022-11-30 14:38:05,TRUE,NA,"1597963180525117441",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PolresSbt",0,FALSE,FALSE,NA,NA
"878","@cookierunfess gak bisa nder 
kalo yg kanan kayaknya sih dari bansos / event doang (tower kurg tau habis update ini… https://t.co/ApnXIzJArn",FALSE,0,"cookierunfess",2022-11-30 14:37:59,TRUE,"1597962570518106112","1597963155204108289","1443334747527077895","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kieminara",0,FALSE,FALSE,NA,NA
